Tipo_traffico,CPU_setup,Benchmark_MT,CPS,Sessioni_contemporanee,Sec_to_reach,HT_sec,Erlang,CPU_percent,RAM_Mb,Disco_cache,Disco_db,Disco_log,Superamento_burst,
Interno_NoRTP,"Xeon(R) CPU E5-2650 v3 2cpu x 4Gb",11657,7,400,57,90,0.5,,,,6.5M,12M,403.0M,
Interno_NoRTP,"Xeon(R) CPU E5-2650 v3 2cpu x 4Gb",11657,7,500,71,90,0.5,,,,8.1M,12M,428.0M,
Interno_NoRTP,"Xeon(R) CPU E5-2650 v3 2cpu x 4Gb",11657,7,1000,143,90,0.5,178.0,107M,8.1M,12M,475.0M,,
Interno_NoRTP,"Xeon(R) CPU E5-2650 v3 2cpu x 4Gb",11657,8,1000,125,90,0.5,,,,,,,
Esterno_NoRTP,"Xeon(R) CPU E5-2650 v3 2cpu x 4Gb",11657,3,400,133,90,0.5,,689M,6.5M,12M,4680,,
Esterno_NoRTP,"Xeon(R) CPU E5-2650 v3 2cpu x 4Gb",11657,3,500,167,90,0.5,,663M,8.1M,14M,479M,,
Esterno_NoRTP,"Xeon(R) CPU E5-2650 v3 2cpu x 4Gb",11657,3,1000,333,90,0.5,130.0,584M,8.1M,12M,547M,,
Esterno_NoRTP,"Xeon(R) CPU E5-2650 v3 2cpu x 4Gb",11657,4,1000,250,90,0.5,,,,,,,
Interno_RTP,"Xeon(R) CPU E5-2650 v3 2cpu x 4Gb",11657,3,200,67,90,0.5,110.0,1.6G,3.3M,12M,361M,,
Interno_RTP,"Xeon(R) CPU E5-2650 v3 2cpu x 4Gb",11657,3,250,83,90,0.5,138.0,1.3G,4.1M,12M,390M,,
Esterno_RTP,"Xeon(R) CPU E5-2650 v3 2cpu x 4Gb",11657,3,80,27,90,0.5,165.0,433M,1.4M,12M,370M,,
Interno_NoRTP,"Xeon(R) CPU E5-2650 v3 4cpu x 4Gb",11657,10,50,5,90,0.5,3.0,198.0,888K,9.5M,342.2M,,
Interno_NoRTP,"Xeon(R) CPU E5-2650 v3 4cpu x 4Gb",11657,10,100,10,90,0.5,3.0,183.0,888k,9.5M,347.0M,,
Interno_NoRTP,"Xeon(R) CPU E5-2650 v3 4cpu x 4Gb",11657,10,200,20,90,0.5,3.0,112.0,3.3M,9.5M,386.0M,,
Interno_NoRTP,"Xeon(R) CPU E5-2650 v3 4cpu x 4Gb",11657,10,400,40,90,0.5,3.0,210.0,3.5M,14M,450.0M,,
Interno_NoRTP,"Xeon(R) CPU E5-2650 v3 4cpu x 4Gb",11657,10,500,50,90,0.5,3.0,227.0,8.1M,14M,452.0M,,
Interno_NoRTP,"Xeon(R) CPU E5-2650 v3 4cpu x 4Gb",11657,10,1000,100,90,0.5,3.0,118.0,8.1M,16M,480.0M,,
Interno_NoRTP,"Xeon(R) CPU E5-2650 v3 4cpu x 4Gb",11657,11,1000,91,90,0.5,,,,,,,
Esterno_NoRTP,"Xeon(R) CPU E5-2650 v3 4cpu x 4Gb",11657,8,100,13,90,0.5,3.0,,888K,14M,354M,,
